Label,Country,Genre,Release_Date,Style,fpress,spress,tpress,original,rare,dgroove,sealed,promo,xnotes,price,artist,album,reclabel,recyear,rating,votes,haves,wants,sleeve_cond_abbr,media_cond_abbr,seller_rating,media_cond_num,sleeve_cond_num
Blue Note – BLP 1502,US,Jazz,Feb 1956,"Hard Bop, Bop",1,0,0,1,0,1,0,0,1,1100.0,Miles Davis , Volume 2,Blue Note ,56,4.32,25.0,219.0,301.0,VG,VG+,0.988,6,5
Blue Note – BLP 1567,US,Jazz,1957,Hard Bop,0,0,0,0,0,0,0,0,0,2100.0,Curtis Fuller , The Opener,Blue Note ,57,4.5,16.0,68.0,385.0,VG,VG,1.0,5,5
Blue Note – BLP 1508,US,Jazz,May 1956,Hard Bop,1,0,0,1,0,1,0,0,1,770.0,The Jazz Messengers* , At The Cafe Bohemia Volume 2,Blue Note ,56,4.62,29.0,206.0,411.0,VG+,NM or M-,0.988,7,6
Blue Note – BLP 1549,US,Jazz,May 1957,Hard Bop,1,0,1,1,0,1,0,0,1,1650.0,Cliff Jordan* & John Gilmore , Blowing In From Chicago,Blue Note ,57,4.76,17.0,84.0,495.0,VG,VG+,0.978,6,5
New Jazz – PRLP 8205,US,Jazz,1961,Hard Bop,0,0,0,1,0,1,0,0,1,666.0,Jerome Richardson , Midnight Oil,New Jazz ,61,4.6,10.0,34.0,131.0,NM or M-,VG+,0.9940000000000001,6,7
Blue Note – BLP 1519,US,Jazz,1956,"Hard Bop, Bop",0,0,0,0,0,0,0,0,0,750.0,Herbie Nichols Trio , Herbie Nichols Trio,Blue Note ,56,4.75,12.0,68.0,292.0,VG,VG,1.0,5,5
Prestige – PRLP 7166,US,Jazz,Jan 1960,"Hard Bop, Bop",0,0,0,0,0,0,0,0,0,700.0,The Miles Davis Quintet , Workin' With The Miles Davis Quintet,Prestige ,60,4.62,101.0,813.0,1036.0,VG+,VG+,0.997,6,6
Blue Note – BLP 1527,US,Jazz,1956,Hard Bop,0,0,0,0,0,0,0,0,0,900.0,Thad Jones , The Magnificent Thad Jones,Blue Note ,56,4.56,16.0,92.0,429.0,VG,VG,0.997,5,5
New Jazz – NJLP-8236,US,Jazz,1960,"Hard Bop, Post Bop",0,0,0,1,0,1,0,0,1,850.0,Eric Dolphy Quintet , Outward Bound,New Jazz ,60,4.64,42.0,197.0,450.0,M,NM or M-,1.0,7,8
"Prestige – PRLP 7157, Prestige – 7157",US,"Jazz, Blues",1959,Hard Bop,1,1,0,0,0,0,0,0,1,600.0,Red Garland , Red In Bluesville,Prestige ,59,4.67,12.0,153.0,138.0,NM or M-,NM or M-,1.0,7,7
"Canyon – CAJ-1002, 1003",Japan,Jazz,Nov 1970,"Free Jazz, Hard Bop, Post Bop, Modal",0,0,0,0,0,0,0,0,0,850.99,Various , Summer Jazz In Tokyo,Canyon ,70,5.0,3.0,7.0,91.0,VG+,NM or M-,1.0,7,6
Blue Note – BST 84115,US,Jazz,1962,Hard Bop,1,0,0,0,0,0,0,0,1,2225.0,Freddie Hubbard , Hub-Tones,Blue Note ,62,4.92,12.0,75.0,310.0,G,VG,0.998,5,3
Blue Note – BLP 4140,US,Jazz,1963,Hard Bop,1,0,0,1,0,1,0,0,1,1000.0,Joe Henderson , Page One,Blue Note ,63,4.61,33.0,142.0,738.0,VG,VG+,1.0,6,5
Impulse! – AS-77,US,Jazz,1965,"Free Jazz, Hard Bop, Modal",0,0,0,0,0,0,0,0,0,700.0,John Coltrane , A Love Supreme,Impulse! ,65,4.67,12.0,53.0,375.0,NM or M-,NM or M-,1.0,7,7
Blue Note – BLP 4023,US,Jazz,1959,Hard Bop,0,0,0,0,0,0,0,0,0,1200.0,Dizzy Reece , Star Bright,Blue Note ,59,4.71,14.0,92.0,255.0,VG+,VG+,1.0,6,6
"Blue Note – BLP 1595, Blue Note – 1595",US,Jazz,May 1958,"Bop, Hard Bop",1,0,0,1,0,1,0,0,1,677.77,Cannonball Adderley , Somethin' Else,Blue Note ,58,4.7,194.0,1087.0,1718.0,VG+,VG,1.0,5,6
Jazz Line (2) – JAZ-33-01,US,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,895.0,The Dave Bailey Sextet , Bash!,Jazz Line (2) ,61,4.67,3.0,40.0,133.0,VG+,VG+,0.995,6,6
Prestige – PRESTIGE 3,US,Jazz,1957,"Cool Jazz, Hard Bop",1,1,1,0,0,0,0,0,1,1200.0,Miles Davis , Miles Davis And The Modern Jazz Giants,Prestige ,57,4.5,6.0,24.0,124.0,VG+,NM or M-,1.0,7,6
Columbia – CS 8456,US,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,600.0,Miles Davis Sextet* , Someday My Prince Will Come,Columbia ,61,4.42,57.0,655.0,268.0,M,M,1.0,8,8
Prestige – PRLP 7061,US,Jazz,1956,Hard Bop,0,0,0,0,0,0,0,0,0,1500.0,Hank Mobley , Mobley's Message,Prestige ,56,4.5,14.0,70.0,373.0,VG,VG+,1.0,6,5
