Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price,artist,album,reclabel,recyear,sleeve_cond_abbr,media_cond_abbr,seller_rating,rating,votes,haves,wants,price
Miles Davis – Volume 2,Blue Note – BLP 1502,US,"Vinyl, LP, Compilation, Remastered, Mono",Jazz,Feb-56,"Hard Bop, Bop",Very Good Plus (VG+),Sleeve: Very Good (VG),98.80%,WOR Studios,Plastylite,"$1,100.00 ",Miles Davis , Volume 2,Blue Note ,56,VG,VG+,0.988,4.32,25.0,219,302,1100.0
Curtis Fuller – The Opener,Blue Note – BLP 1567,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,Very Good (VG),Sleeve: Very Good (VG),100.00%,"Van Gelder Studio, Hackensack, New Jersey",,"$2,100.00 ",Curtis Fuller , The Opener,Blue Note ,57,VG,VG,1.0,4.5,16.0,68,385,2100.0
The Jazz Messengers* – At The Cafe Bohemia Volume 2,Blue Note – BLP 1508,US,"Vinyl, LP, Album, Mono",Jazz,May-56,Hard Bop,Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.80%,Café Bohemia,Plastylite,$770.00 ,The Jazz Messengers* , At The Cafe Bohemia Volume 2,Blue Note ,56,VG+,NM or M-,0.988,4.62,29.0,205,409,770.0
Cliff Jordan* & John Gilmore – Blowing In From Chicago,Blue Note – BLP 1549,US,"Vinyl, LP, Album, Mono",Jazz,May-57,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),97.80%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$1,650.00 ",Cliff Jordan* & John Gilmore , Blowing In From Chicago,Blue Note ,57,VG,VG+,0.978,4.76,17.0,83,493,1650.0
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono",Jazz,May-58,"Bop, Hard Bop",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),,,Plastylite,"$1,099.00 ",Cannonball Adderley , Somethin' Else,Blue Note ,58,VG+,VG+,,4.7,194.0,1085,1716,1099.0
Jerome Richardson – Midnight Oil,New Jazz – PRLP 8205,US,"Vinyl, LP, Album, Mono",Jazz,1961,Hard Bop,Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.40%,"Van Gelder Studio, Hackensack, New Jersey",,$666.00 ,Jerome Richardson , Midnight Oil,New Jazz ,61,NM or M-,VG+,0.9940000000000001,4.6,10.0,34,131,666.0
Herbie Nichols Trio – Herbie Nichols Trio,Blue Note – BLP 1519,US,"Vinyl, LP, Album, Mono",Jazz,1956,"Hard Bop, Bop",Very Good (VG),Sleeve: Very Good (VG),100.00%,"Van Gelder Studio, Hackensack, New Jersey",,$750.00 ,Herbie Nichols Trio , Herbie Nichols Trio,Blue Note ,56,VG,VG,1.0,4.75,12.0,67,292,750.0
The Miles Davis Quintet – Workin' With The Miles Davis Quintet,Prestige – PRLP 7166,US,"Vinyl, LP, Album, Mono, Deep groove",Jazz,Jan-60,"Hard Bop, Bop",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.70%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$700.00 ,The Miles Davis Quintet , Workin' With The Miles Davis Quintet,Prestige ,60,VG+,VG+,0.997,4.62,101.0,812,1032,700.0
Thad Jones – The Magnificent Thad Jones,Blue Note – BLP 1527,US,"Vinyl, LP, Album, Mono",Jazz,1956,Hard Bop,Very Good (VG),Sleeve: Very Good (VG),99.70%,"Van Gelder Studio, Hackensack, New Jersey",,$900.00 ,Thad Jones , The Magnificent Thad Jones,Blue Note ,56,VG,VG,0.997,4.56,16.0,92,428,900.0
Eric Dolphy Quintet – Outward Bound,New Jazz – NJLP-8236,US,"Vinyl, LP, Album, Mono",Jazz,1960,"Hard Bop, Post Bop",Near Mint (NM or M-),Sleeve: Mint (M),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey","Abbey Record Manufacturing Co., Inc.",$850.00 ,Eric Dolphy Quintet , Outward Bound,New Jazz ,60,M,NM or M-,1.0,4.64,42.0,197,448,850.0
