Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
The Red Garland Quintet Featuring John Coltrane And Donald Byrd – Soul Junction,Prestige – PRLP 7181,US,"Vinyl, LP, Album, Mono, Deep groove",Jazz,Oct 1960,Hard Bop,"Rated 4.28 of 32 votes (218 have, 364 want)",Very Good (VG),Sleeve: Very Good (VG),99.6%,nan,nan,$225.00
The Horace Silver Quintet Plus J.J. Johnson – The Cape Verdean Blues,Blue Note – BST 84220,US,"Vinyl, LP, Album, Stereo",Jazz,Dec 1965,"Hard Bop, Post Bop","Rated 4.53 of 59 votes (400 have, 245 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,Plastylite,$200.00
John Coltrane And Paul Quinichette – Cattin' With Coltrane And Quinichette,Prestige – 7158,US,"Vinyl, LP, Album, Mono",Jazz,1959,Hard Bop,"Rated 4.29 of 21 votes (159 have, 224 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$200.00
Freddie Roach – Mo' Greens Please,Blue Note – BST 84128,US,"Vinyl, LP, Album, Stereo",Jazz,1963,"Hard Bop, Soul-Jazz","Rated 5.00 of 5 votes (51 have, 61 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$200.00
Booker Little – Booker Little,Time Records (3) – 52011,US,"Vinyl, LP, Album, Mono, Gatefold Sleeve",Jazz,1960,Hard Bop,"Rated 4.70 of 10 votes (65 have, 194 want)",Good Plus (G+),Sleeve: Very Good (VG),100.0%,nan,nan,$213.09
Art Blakey & The Jazz Messengers – Mosaic,Blue Note – BLP 4090,US,"Vinyl, LP, Album, Mono",Jazz,Dec 1961,"Bop, Hard Bop","Rated 4.51 of 65 votes (437 have, 394 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$200.00
The Red Garland Trio – Groovy,Prestige – 7113,US,"Vinyl, LP, Album, Mono",Jazz,1957,"Hard Bop, Modal","Rated 4.13 of 16 votes (119 have, 229 want)",Very Good (VG),Sleeve: Good Plus (G+),99.9%,"Van Gelder Studio, Hackensack, New Jersey",nan,$215.39
"Art Blakey Quintet – A Night At Birdland, Vol. 2",Blue Note – BLP 5038,US,"Vinyl, LP, 10"", Album, Mono",Jazz,1954,Hard Bop,"Rated 4.71 of 7 votes (71 have, 132 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Birdland,nan,$219.99
"Johnny Griffin Sextet, Johnny Griffin – Johnny Griffin Sextet",Riverside Records – RLP 12-264,US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.22 of 9 votes (81 have, 136 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),97.0%,nan,nan,$220.00
Grant Green – Grantstand,Blue Note – BLP 4086,US,"Vinyl, LP, Album, Mono",Jazz,Feb 1962,"Soul-Jazz, Hard Bop","Rated 4.34 of 29 votes (178 have, 359 want)",Good Plus (G+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$219.99
Sonny Rollins – Volume 2,Blue Note – BLP 1558,US,"Vinyl, LP, Album, Mono, 47 West",Jazz,Sep 1957,Hard Bop,"Rated 4.71 of 35 votes (244 have, 369 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$211.11
Lee Morgan – Search For The New Land,"Blue Note – BST 84169, Blue Note – 84169, Blue Note – ST-84169",US,"Vinyl, LP, Album, Repress, Stereo",Jazz,1966,Hard Bop,"Rated 4.47 of 19 votes (93 have, 246 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$200.00
Thelonious Monk Septet – Monk's Music,Riverside Records – RLP 12-242,US,"Vinyl, LP, Album, Mono",Jazz,Nov 1957,"Bop, Hard Bop","Rated 4.39 of 33 votes (203 have, 518 want)",Good Plus (G+),Sleeve: Very Good (VG),100.0%,Reeves Sound Studios,nan,$200.00
"Stanley Turrentine – Up At ""Minton's"", Vol. 1",Blue Note – BLP 4069,US,"Vinyl, LP, Album, Mono",Jazz,1962,Hard Bop,"Rated 4.58 of 19 votes (97 have, 193 want)",Very Good (VG),Sleeve: Near Mint (NM or M-),99.4%,Minton's Playhouse,Plastylite,$200.00
