Artist_Album,Label,Country,Format,Notes,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Miles Davis – Volume 2,Blue Note – BLP 1502,US,"Vinyl, LP, Compilation, Remastered, Mono","Recorded at the WOR Studios, NYC, on May 9, 1952 (tracks A3, A6), on April 20, 1953 (tracks A4, A5, B4) and at Rudy Van Gelder Studio, Hackensack, NJ, on March 6, 1954 (tracks A1, A2, B1, B2, B3, B5).

1st original mono issue has:
- deep grooved blue/white Blue Note Records labels with 767 Lexington Ave N.Y.C. addess
- flat edge vinyl with RVG etched and ""P"" (otherwise wrongly called ""ear"") for Plastylite etched in the trail off, both sides
- 767 Lexington Ave., New York 21 address on back cover
- blank spine on cover",Jazz,Feb 1956,"Hard Bop, Bop","Rated 4.32 of 25 votes (219 have, 301 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),98.8%,WOR Studios,Plastylite,"$1,100.00"
Curtis Fuller – The Opener,Blue Note – BLP 1567,US,"Vinyl, LP, Album, Mono","Recorded on June 16, 1957.",Jazz,1957,Hard Bop,"Rated 4.50 of 16 votes (68 have, 385 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$2,100.00"
The Jazz Messengers* – At The Cafe Bohemia Volume 2,Blue Note – BLP 1508,US,"Vinyl, LP, Album, Mono","Recorded live on November 23, 1955.

1st original mono issue has:
- deep grooved blue/white Blue Note Records labels with 767 Lexington Ave N.Y.C. addess
- flat edge vinyl with RVG etched and ""P"" (otherwise wrongly called ""ear"") for Plastylite etched in the trail off, both sides
- 767 Lexington Ave., New York 21 address on back cover
- blank spine on cover
- Framed cover.",Jazz,May 1956,Hard Bop,"Rated 4.62 of 29 votes (206 have, 411 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.8%,Café Bohemia,Plastylite,$770.00
Cliff Jordan* & John Gilmore – Blowing In From Chicago,Blue Note – BLP 1549,US,"Vinyl, LP, Album, Mono","Recorded on March 3, 1957.

The 1st original mono issue has:
- blue and white Blue Note Records - 47 West 63rd - New York 23 address on deep grooved labels (no ""Inc"" no ®),
- flat rim vinyl,
- RVG etched and P (wrongly called ""ear"") for Plastylite plant in the dead wax, both sides,
- Blue Note Records, 47 West 63rd St., New York 23 address on back-cover (no ""Inc.""),
- blank spine,
- laminated cover",Jazz,May 1957,Hard Bop,"Rated 4.76 of 17 votes (84 have, 495 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),97.8%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$1,650.00"
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono","This pressing has:
- W 63 street address and no ® and microgroove on the labels
- Deep groove on both sides.
- no Inc. in address on back cover.
-""P"", for Plastylite Recording plant etched.
- RVG stamped in the trail off, both sides.
- Address in back cover should be printed with Serif font as it is considered the first printing. (Fred Cohen's ""A guide for Identifying Original Pressings"" p105)

Miles Davis performs by courtesy of Columbia Records.
Hank Jones performs by courtesy of Capitol Records.
Recorded on March 9, 1958.",Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1087 have, 1718 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),nan,nan,Plastylite,"$1,099.00"
Jerome Richardson – Midnight Oil,New Jazz – PRLP 8205,US,"Vinyl, LP, Album, Mono","Original Copy: Deep groove, purple label",Jazz,1961,Hard Bop,"Rated 4.60 of 10 votes (34 have, 131 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,"Van Gelder Studio, Hackensack, New Jersey",nan,$666.00
Herbie Nichols Trio – Herbie Nichols Trio,Blue Note – BLP 1519,US,"Vinyl, LP, Album, Mono","Max Roach performs by courtesy of Bob Shad, Mercury Record Corp.",Jazz,1956,"Hard Bop, Bop","Rated 4.75 of 12 votes (68 have, 292 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$750.00
The Miles Davis Quintet – Workin' With The Miles Davis Quintet,Prestige – PRLP 7166,US,"Vinyl, LP, Album, Mono, Deep groove","Yellow & black fireworks labels with ""203 South Washington Ave. Bergenfield, N.J."" address printed at top and ""Long playing microgroove"" at bottom. ""RVG"" stamped into deadwax.

Recorded at Rudy Van Gelder Studio, Hackensack, New Jersey

Variant 2 runout does not have AB on side A",Jazz,Jan 1960,"Hard Bop, Bop","Rated 4.62 of 101 votes (813 have, 1036 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$700.00
Thad Jones – The Magnificent Thad Jones,Blue Note – BLP 1527,US,"Vinyl, LP, Album, Mono","Recorded on July 14, 1956.",Jazz,1956,Hard Bop,"Rated 4.56 of 16 votes (92 have, 429 want)",Very Good (VG),Sleeve: Very Good (VG),99.7%,"Van Gelder Studio, Hackensack, New Jersey",nan,$900.00
Eric Dolphy Quintet – Outward Bound,New Jazz – NJLP-8236,US,"Vinyl, LP, Album, Mono","Recorded in Englewood Cliffs, NJ; April 1, 1960

Original New Jazz labels with deep groove on both sides.",Jazz,1960,"Hard Bop, Post Bop","Rated 4.64 of 42 votes (197 have, 450 want)",Near Mint (NM or M-),Sleeve: Mint (M),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey","Abbey Record Manufacturing Co., Inc.",$850.00
