,link_stub,artist,title,sleeve,rlabel,rformat,country,release_dt,genre,style,rating,media,price,votes,haves,wants
Thad Jones - The Magnificent Thad Jones,/sell/item/1251833271,Thad Jones,The Magnificent Thad Jones,Very Good (VG),Blue Note,"Vinyl, LP, Album, Mono",US,1956-01-15,Jazz,Hard Bop,4.56,Very Good (VG),599,16.0,92.0,427.0
"Stanley Turrentine - Up At ""Minton's"", Vol. 2",/sell/item/1279917909,Stanley Turrentine,"Up At ""Minton's"", Vol. 2",Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1961-01-15,Jazz,Hard Bop,4.55,Very Good Plus (VG+),400,11.0,89.0,167.0
The John Coltrane Quartet - Africa / Brass,/sell/item/607395159,The John Coltrane Quartet,Africa / Brass,Near Mint (NM or M-),Impulse!,"Vinyl, LP, Album, Mono, Gatefold",US,1961-09-15,Jazz,"Free Jazz, Hard Bop, Modal",4.64,Very Good Plus (VG+),500,42.0,428.0,361.0
Thad Jones - Frank Wess,/sell/item/1211869208,Thad Jones,Frank Wess,Very Good Plus (VG+),Prestige,"Vinyl, LP, Album, Mono",US,1957-01-15,Jazz,Hard Bop,4.5,Very Good Plus (VG+),587,14.0,58.0,236.0
Kenny Drew Quintet / Quartet* - This Is New,/sell/item/1165902763,Kenny Drew Quintet / Quartet*,This Is New,Very Good Plus (VG+),Riverside Records,"Vinyl, LP, Album, Mono",US,1957-01-15,Jazz,Hard Bop,4.0,Near Mint (NM or M-),577,8.0,47.0,178.0
Donald Byrd - Byrd In Paris,/sell/item/1125083466,Donald Byrd,Byrd In Paris,Very Good (VG),Signature (4),"Vinyl, LP, Album, Mono",US,1960-01-15,Jazz,Hard Bop,5.0,Very Good Plus (VG+),571,1.0,7.0,92.0
"Benny Carter Featuring The Voices Of Sammy Davis, Jr.*, Louis Armstrong And Mel Tormé - A Man Called Adam",/sell/item/934827549,"Benny Carter Featuring The Voices Of Sammy Davis, Jr.*, Louis Armstrong And Mel Tormé",A Man Called Adam,Very Good Plus (VG+),Reprise Records,"Vinyl, LP, Album, Mono, Promo",US,1966-01-15,"Jazz, Blues","Hard Bop, Easy Listening, Dixieland, Swing, Cool Jazz",4.0,Near Mint (NM or M-),559,2.0,14.0,12.0
"Sonny Rollins - A Night At The ""Village Vanguard""",/sell/item/1151788055,Sonny Rollins,"A Night At The ""Village Vanguard""",Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1957-12-15,Jazz,"Hard Bop, Bop",4.61,Very Good Plus (VG+),550,44.0,295.0,496.0
Herbie Nichols - The Prophetic Herbie Nichols Vol. 2,/sell/item/993944474,Herbie Nichols,The Prophetic Herbie Nichols Vol. 2,Very Good (VG),Blue Note,"Vinyl, 10"", Album, Mono",USA & Canada,1955-01-15,Jazz,Hard Bop,4.8,Good Plus (G+),550,5.0,23.0,131.0
Thelonious Monk - Brilliant Corners,/sell/item/1208828390,Thelonious Monk,Brilliant Corners,Very Good Plus (VG+),Riverside Records,"Vinyl, LP, Album, Mono, Deep Groove",US,1957-01-15,Jazz,Hard Bop,4.38,Very Good Plus (VG+),550,56.0,380.0,1061.0
Herbie Hancock - Inventions And Dimensions,/sell/item/1189266612,Herbie Hancock,Inventions And Dimensions,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1964-01-15,Jazz,"Free Improvisation, Hard Bop, Modal",4.52,Very Good (VG),475,42.0,169.0,829.0
