Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
Bennie Green – Walkin' And Talkin',Jazz,1959,Hard Bop,"Rated 4.69 of 13 votes (86 have, 189 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$390.00
Miles Davis Quartet* – The Musings Of Miles,Jazz,1956,"Hard Bop, Bop","Rated 4.00 of 1 votes (28 have, 85 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,$350.00
Lou Donaldson Quintet – Swing And Soul,Jazz,1959,"Hard Bop, Soul-Jazz","Rated 5.00 of 2 votes (9 have, 59 want)",Very Good (VG),Sleeve: Very Good (VG),99.9%,$382.79
John Coltrane – Coltrane,Jazz,1958,Hard Bop,"Rated 4.83 of 12 votes (64 have, 242 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,$330.00
Sam Rivers – Fuchsia Swing Song,Jazz,1965,"Post Bop, Hard Bop","Rated 4.41 of 22 votes (101 have, 407 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,$350.00
Hank Mobley – Soul Station,Jazz,1960,Hard Bop,"Rated 4.68 of 53 votes (239 have, 1118 want)",Good Plus (G+),Sleeve: Generic,96.6%,$395.00
Gene Ammons All Stars* – Jammin' In Hi Fi With Gene Ammons,Jazz,Oct 1957,Hard Bop,"Rated 4.00 of 2 votes (42 have, 109 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,$333.00
"Sonny Rollins – A Night At The ""Village Vanguard""",Jazz,Dec 1957,"Hard Bop, Bop","Rated 4.61 of 44 votes (295 have, 496 want)",Very Good (VG),Sleeve: Near Mint (NM or M-),100.0%,$400.00
Harold Land – West Coast Blues!,Jazz,1960,Hard Bop,"Rated 5.00 of 3 votes (16 have, 36 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),97.0%,$375.00
Wayne Shorter – Night Dreamer,Jazz,1964,Hard Bop,"Rated 4.46 of 37 votes (144 have, 501 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,$325.00
Jackie McLean – A Fickle Sonance,Jazz,1962,Hard Bop,"Rated 4.60 of 20 votes (99 have, 273 want)",Very Good (VG),Sleeve: Very Good (VG),99.1%,$300.00
Lee Morgan – Search For The New Land,Jazz,1966,Hard Bop,"Rated 4.64 of 11 votes (98 have, 247 want)",Mint (M),Sleeve: Very Good Plus (VG+),100.0%,$395.00
Art Farmer Quintet Featuring Gigi Gryce – Art Farmer Quintet Featuring Gigi Gryce,Jazz,1956,"Bop, Hard Bop, Cool Jazz","Rated 4.50 of 6 votes (31 have, 161 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$375.00
