Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
Miles Davis – Volume 2,Jazz,Feb 1956,"Hard Bop, Bop","Rated 4.32 of 25 votes (219 have, 302 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),98.8%,"$1,100.00"
Curtis Fuller – The Opener,Jazz,1957,Hard Bop,"Rated 4.50 of 16 votes (68 have, 385 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"$2,100.00"
The Jazz Messengers* – At The Cafe Bohemia Volume 2,Jazz,May 1956,Hard Bop,"Rated 4.62 of 29 votes (205 have, 409 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.8%,$770.00
Cliff Jordan* & John Gilmore – Blowing In From Chicago,Jazz,May 1957,Hard Bop,"Rated 4.76 of 17 votes (83 have, 493 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),97.8%,"$1,650.00"
Cannonball Adderley – Somethin' Else,Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1086 have, 1716 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),nan,"$1,099.00"
Jerome Richardson – Midnight Oil,Jazz,1961,Hard Bop,"Rated 4.60 of 10 votes (34 have, 131 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,$666.00
Herbie Nichols Trio – Herbie Nichols Trio,Jazz,1956,"Hard Bop, Bop","Rated 4.75 of 12 votes (67 have, 292 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$750.00
The Miles Davis Quintet – Workin' With The Miles Davis Quintet,Jazz,Jan 1960,"Hard Bop, Bop","Rated 4.62 of 101 votes (812 have, 1032 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,$700.00
Thad Jones – The Magnificent Thad Jones,Jazz,1956,Hard Bop,"Rated 4.56 of 16 votes (92 have, 427 want)",Very Good (VG),Sleeve: Very Good (VG),99.7%,$900.00
Eric Dolphy Quintet – Outward Bound,Jazz,1960,"Hard Bop, Post Bop","Rated 4.64 of 42 votes (197 have, 446 want)",Near Mint (NM or M-),Sleeve: Mint (M),100.0%,$850.00
Red Garland – Red In Bluesville,"Jazz, Blues",1959,Hard Bop,"Rated 4.67 of 12 votes (153 have, 137 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$600.00
Various – Summer Jazz In Tokyo,Jazz,Nov 1970,"Free Jazz, Hard Bop, Post Bop, Modal","Rated 5.00 of 3 votes (7 have, 91 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$850.99
Freddie Hubbard – Hub-Tones,Jazz,1962,Hard Bop,"Rated 4.92 of 12 votes (74 have, 309 want)",Very Good (VG),Sleeve: Good (G),99.8%,"$2,225.00"
Joe Henderson – Page One,Jazz,1963,Hard Bop,"Rated 4.61 of 33 votes (141 have, 737 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"$1,000.00"
